number,specname
1229,NPHEN1OOH
1230,CH2OHCL2O2H
1231,MTCTEC1OOH
1232,C45OOH
1233,C920CO3H
1234,C816CO3H
1235,ETOMEOOH
1236,NPBFUOOH
1237,PTCTEC1OOH
1238,NDNPHENOOH
1239,PXYMUCCO3H
1240,NOETOL1OOH
1241,HO7C8OOH
1242,OETLMUCOOH
1243,TM135MUO3H
1244,IECCO3H
1245,METLMUCO3H
1246,BOXPOLAOOH
1247,NDNMXYLOOH
1248,C5NO3O4OOH
1249,H2C3OCOOH
1250,METLMUCO2H
1251,ETBECOOH
1252,PRCATC1OOH
1253,C617OOH
1254,HO1MC5OOH
1255,MET1OOH
1256,DNCRESOOH
1257,C133OOH
1258,C2OHOCOOH
1259,BCALOOH
1260,C810OOH
1261,C3COCCO3H
1262,C1H4C5CO2H
1263,APINCOOH
1264,IPRACOOH
1265,C2CL3OHOOH
1266,TMB1FUOOH
1267,C512CO2H
1268,C1213OOH
1269,NOXYOL1OOH
1270,CH3CO3H
1271,BUTDBOH
1272,ETOLOOH
1273,M2HEXBOOH
1274,BCAOH
1275,MPRNO3CO2H
1276,C141CO3H
1277,C7CO3OHOOH
1278,OETLMUCO2H
1279,C719NO3
1280,C621OOH
1281,CO1M22CO2H
1282,HOCHOCOOH
1283,CHOC3COOOH
1284,C731OOH
1285,C56NO3
1286,DNOETOLOOH
1287,C620OOH
1288,MIPKBOOH
1289,C624CO3H
1290,C97OOH
1291,HO3C116OOH
1292,DETLMUO3H
1293,CNO3CLOOH
1294,EPXMEDLPAN
1295,CO3C85OOH
1296,HOC3H6CO3H
1297,OCTOOH
1298,LIMAOH
1299,DICLETO2H
1300,CO2C3CO3H
1301,TLEMUCCO3H
1302,C87CO3H
1303,HO4C5CO3H
1304,METLBPROOH
1305,BOXPOLBNO3
1306,C108OOH
1307,NMXYOL1OOH
1308,DIBRETO2H
1309,C23O3ECO3H
1310,C77OOH
1311,C137OOH
1312,C3DIOLOOH
1313,C518CO3H
1314,OXNCATCOOH
1315,PXY1OOH
1316,C925OOH
1317,C85CO3H
1318,BPINBOOH
1319,MXNCATCOOH
1320,HO12C5
1321,CL2OHPAN
1322,PETOLOOH
1323,H3C25CCO2H
1324,C95OOH
1325,NDMMALYOOH
1326,H3M2C4CO3H
1327,DMEBMUOOH
1328,C517OOH
1329,NT124L1OOH
1330,C134OOH
1331,C113OOH
1332,DNPHENOOH
1333,H2M4C65OOH
1334,C103OOH
1335,C516OOH
1336,DNMETOLOOH
1337,DMEPHOLOOH
1338,HO13C4NO3
1339,MMALNHYOOH
1340,CO234C6OOH
1341,PETLBIPNO3
1342,MTBKOOH
1343,PXYLCO3H
1344,T124CT1OOH
1345,M3C4CO3H
1346,INB1HPCO3H
1347,C107OOH
1348,EPXDLCO2H
1349,H3C2C4CO2H
1350,MXYFUOOH
1351,C618CO3H
1352,PHENOOH
1353,C6H5C2OOH
1354,MO2EOLANO3
1355,OETOLOOH
